date,customer_id,loan_id,loan_amount,cumulative_repayment,cumulative_interest,cumulative_paid,outstanding_balance,days_in_arrears,status,utilization (%),DPD_bucket,risk_band
2025-10-15,C001,L001,18881,8034,791,7243,11638,1,late,61.64,1–30 DPD,Low
2025-10-16,C001,L001,18881,8399,827,7572,11309,0,current,59.9,Current,Low
2025-10-17,C001,L001,18881,8399,827,7572,11309,1,late,59.9,1–30 DPD,Low
2025-10-18,C001,L001,18881,8399,827,7572,11309,2,late,59.9,1–30 DPD,Low
2025-10-19,C001,L001,18881,8399,827,7572,11309,3,late,59.9,1–30 DPD,Low
2025-10-20,C001,L001,18881,8636,850,7786,11095,2,late,58.76,1–30 DPD,Low
2025-10-21,C001,L001,18881,8989,885,8104,10777,1,late,57.08,1–30 DPD,Low
2025-10-22,C001,L001,18881,9332,919,8413,10468,0,current,55.44,Current,Low
2025-10-23,C001,L001,18881,9332,919,8413,10468,1,late,55.44,1–30 DPD,Low
2025-10-24,C001,L001,18881,9452,931,8521,10360,0,current,54.87,Current,Low
2025-10-25,C001,L001,18881,9553,941,8612,10269,0,current,54.39,Current,Low
2025-10-26,C001,L001,18881,9743,960,8783,10098,0,current,53.48,Current,Low
2025-10-27,C001,L001,18881,9743,960,8783,10098,1,late,53.48,1–30 DPD,Low
2025-10-28,C001,L001,18881,10173,1003,9170,9711,0,current,51.43,Current,Low
2025-10-29,C001,L001,18881,10514,1037,9477,9404,0,current,49.81,Current,Low
2025-10-30,C001,L001,18881,10514,1037,9477,9404,1,late,49.81,1–30 DPD,Low
2025-09-01,C002,L002,10869,223,22,201,10668,0,current,98.15,Current,High
2025-09-02,C002,L002,10869,451,44,407,10462,0,current,96.26,Current,High
2025-09-03,C002,L002,10869,836,82,754,10115,0,current,93.06,Current,High
2025-09-04,C002,L002,10869,1241,122,1119,9750,0,current,89.7,Current,Medium
2025-09-05,C002,L002,10869,1620,159,1461,9408,0,current,86.56,Current,Medium
2025-09-06,C002,L002,10869,1958,192,1766,9103,0,current,83.75,Current,Medium
2025-09-07,C002,L002,10869,2366,232,2134,8735,0,current,80.37,Current,Medium
2025-09-08,C002,L002,10869,2366,232,2134,8735,1,late,80.37,1–30 DPD,Medium
2025-09-09,C002,L002,10869,2366,232,2134,8735,2,late,80.37,1–30 DPD,Medium
2025-09-10,C002,L002,10869,2518,247,2271,8598,1,late,79.11,1–30 DPD,Medium
2025-09-11,C002,L002,10869,2652,260,2392,8477,0,current,77.99,Current,Medium
2025-09-12,C002,L002,10869,2652,260,2392,8477,1,late,77.99,1–30 DPD,Medium
2025-09-13,C002,L002,10869,3091,303,2788,8081,0,current,74.35,Current,Medium
2025-09-14,C002,L002,10869,3233,317,2916,7953,0,current,73.17,Current,Medium
2025-09-15,C002,L002,10869,3233,317,2916,7953,1,late,73.17,1–30 DPD,Medium
2025-09-16,C002,L002,10869,3233,317,2916,7953,2,late,73.17,1–30 DPD,Medium
2025-09-17,C002,L002,10869,3233,317,2916,7953,3,late,73.17,1–30 DPD,Medium
2025-09-18,C002,L002,10869,3233,317,2916,7953,4,late,73.17,1–30 DPD,Medium
2025-09-19,C002,L002,10869,3233,317,2916,7953,5,late,73.17,1–30 DPD,Medium
2025-09-20,C002,L002,10869,3233,317,2916,7953,6,late,73.17,1–30 DPD,Medium
2025-09-21,C002,L002,10869,3528,346,3182,7687,5,late,70.72,1–30 DPD,Medium
2025-09-22,C002,L002,10869,3528,346,3182,7687,6,late,70.72,1–30 DPD,Medium
2025-09-23,C002,L002,10869,3528,346,3182,7687,7,late,70.72,1–30 DPD,Medium
2025-09-24,C002,L002,10869,3528,346,3182,7687,8,late,70.72,1–30 DPD,Medium
2025-09-25,C002,L002,10869,3817,374,3443,7426,7,late,68.32,1–30 DPD,Low
2025-09-26,C002,L002,10869,3930,385,3545,7324,6,late,67.38,1–30 DPD,Low
2025-09-27,C002,L002,10869,4356,427,3929,6940,5,late,63.85,1–30 DPD,Low
2025-09-28,C002,L002,10869,4356,427,3929,6940,6,late,63.85,1–30 DPD,Low
2025-09-29,C002,L002,10869,4558,447,4111,6758,5,late,62.18,1–30 DPD,Low
2025-09-30,C002,L002,10869,4558,447,4111,6758,6,late,62.18,1–30 DPD,Low
2025-10-01,C002,L002,10869,4913,482,4431,6438,5,late,59.23,1–30 DPD,Low
2025-10-02,C002,L002,10869,5283,519,4764,6105,4,late,56.17,1–30 DPD,Low
2025-10-03,C002,L002,10869,5283,519,4764,6105,5,late,56.17,1–30 DPD,Low
2025-10-04,C002,L002,10869,5762,566,5196,5673,4,late,52.19,1–30 DPD,Low
2025-10-05,C002,L002,10869,6173,607,5566,5303,3,late,48.79,1–30 DPD,Low
2025-10-06,C002,L002,10869,6173,607,5566,5303,4,late,48.79,1–30 DPD,Low
2025-10-07,C002,L002,10869,6495,639,5856,5013,3,late,46.12,1–30 DPD,Low
2025-10-08,C002,L002,10869,6972,686,6286,4583,2,late,42.17,1–30 DPD,Low
2025-10-09,C002,L002,10869,6972,686,6286,4583,3,late,42.17,1–30 DPD,Low
2025-10-10,C002,L002,10869,7114,700,6414,4455,2,late,40.99,1–30 DPD,Low
2025-10-11,C002,L002,10869,7312,719,6593,4276,1,late,39.34,1–30 DPD,Low
2025-10-12,C002,L002,10869,7641,751,6890,3979,0,current,36.61,Current,Low
2025-10-13,C002,L002,10869,7836,770,7066,3803,0,current,34.99,Current,Low
2025-10-14,C002,L002,10869,8125,798,7327,3542,0,current,32.59,Current,Low
2025-10-15,C002,L002,10869,8125,798,7327,3542,1,late,32.59,1–30 DPD,Low
2025-10-16,C002,L002,10869,8517,837,7680,3189,0,current,29.34,Current,Low
2025-10-17,C002,L002,10869,8517,837,7680,3189,1,late,29.34,1–30 DPD,Low
2025-10-18,C002,L002,10869,8741,859,7882,2987,0,current,27.48,Current,Low
2025-10-19,C002,L002,10869,9046,889,8157,2712,0,current,24.95,Current,Low
2025-10-20,C002,L002,10869,9381,922,8459,2410,0,current,22.17,Current,Low
2025-10-21,C002,L002,10869,9725,956,8769,2100,0,current,19.32,Current,Low
2025-10-22,C002,L002,10869,10088,992,9096,1773,0,current,16.31,Current,Low
2025-10-23,C002,L002,10869,10287,1011,9276,1593,0,current,14.66,Current,Low
2025-10-24,C002,L002,10869,10473,1029,9444,1425,0,current,13.11,Current,Low
2025-10-25,C002,L002,10869,10631,1044,9587,1282,0,current,11.8,Current,Low
2025-10-26,C002,L002,10869,10783,1059,9724,1145,0,current,10.53,Current,Low
2025-10-27,C002,L002,10869,10928,1073,9855,1014,0,current,9.33,Current,Low
2025-10-28,C002,L002,10869,10928,1073,9855,1014,1,late,9.33,1–30 DPD,Low
2025-10-29,C002,L002,10869,10928,1073,9855,1014,2,late,9.33,1–30 DPD,Low
2025-10-30,C002,L002,10869,10928,1073,9855,1014,3,late,9.33,1–30 DPD,Low
2025-09-01,C003,L003,18387,356,35,321,18066,0,current,98.25,Current,High
2025-09-02,C003,L003,18387,740,73,667,17720,0,current,96.37,Current,High
2025-09-03,C003,L003,18387,1135,112,1023,17364,0,current,94.44,Current,High
2025-09-04,C003,L003,18387,1426,141,1285,17102,0,current,93.01,Current,High
2025-09-05,C003,L003,18387,1702,168,1534,16853,0,current,91.66,Current,High
2025-09-06,C003,L003,18387,1702,168,1534,16853,1,late,91.66,1–30 DPD,High
2025-09-07,C003,L003,18387,2178,215,1963,16424,0,current,89.32,Current,Medium
2025-09-08,C003,L003,18387,2178,215,1963,16424,1,late,89.32,1–30 DPD,Medium
2025-09-09,C003,L003,18387,2430,240,2190,16197,0,current,88.09,Current,Medium
2025-09-10,C003,L003,18387,2921,289,2632,15755,0,current,85.69,Current,Medium
2025-09-11,C003,L003,18387,3195,316,2879,15508,0,current,84.34,Current,Medium
2025-09-12,C003,L003,18387,3335,330,3005,15382,0,current,83.66,Current,Medium
2025-09-13,C003,L003,18387,3755,372,3383,15004,0,current,81.6,Current,Medium
2025-09-14,C003,L003,18387,3755,372,3383,15004,1,late,81.6,1–30 DPD,Medium
2025-09-15,C003,L003,18387,4249,421,3828,14559,0,current,79.18,Current,Medium
2025-09-16,C003,L003,18387,4674,463,4211,14176,0,current,77.1,Current,Medium
2025-09-17,C003,L003,18387,5162,511,4651,13736,0,current,74.7,Current,Medium
2025-09-18,C003,L003,18387,5614,556,5058,13329,0,current,72.49,Current,Medium
2025-09-19,C003,L003,18387,5830,577,5253,13134,0,current,71.43,Current,Medium
2025-09-20,C003,L003,18387,5830,577,5253,13134,1,late,71.43,1–30 DPD,Medium
2025-09-21,C003,L003,18387,6010,595,5415,12972,0,current,70.55,Current,Medium
2025-09-22,C003,L003,18387,6010,595,5415,12972,1,late,70.55,1–30 DPD,Medium
2025-09-23,C003,L003,18387,6010,595,5415,12972,2,late,70.55,1–30 DPD,Medium
2025-09-24,C003,L003,18387,6010,595,5415,12972,3,late,70.55,1–30 DPD,Medium
2025-09-25,C003,L003,18387,6444,638,5806,12581,2,late,68.42,1–30 DPD,Low
2025-09-26,C003,L003,18387,6444,638,5806,12581,3,late,68.42,1–30 DPD,Low
2025-09-27,C003,L003,18387,6772,670,6102,12285,2,late,66.81,1–30 DPD,Low
2025-09-28,C003,L003,18387,7164,709,6455,11932,1,late,64.89,1–30 DPD,Low
2025-09-29,C003,L003,18387,7586,751,6835,11552,0,current,62.83,Current,Low
2025-09-30,C003,L003,18387,7586,751,6835,11552,1,late,62.83,1–30 DPD,Low
2025-10-01,C003,L003,18387,7839,776,7063,11324,0,current,61.59,Current,Low
2025-10-02,C003,L003,18387,7839,776,7063,11324,1,late,61.59,1–30 DPD,Low
2025-10-03,C003,L003,18387,7958,787,7171,11216,0,current,61,Current,Low
2025-10-04,C003,L003,18387,8070,798,7272,11115,0,current,60.45,Current,Low
2025-10-05,C003,L003,18387,8070,798,7272,11115,1,late,60.45,1–30 DPD,Low
2025-10-06,C003,L003,18387,8351,826,7525,10862,0,current,59.07,Current,Low
2025-10-07,C003,L003,18387,8536,844,7692,10695,0,current,58.17,Current,Low
2025-10-08,C003,L003,18387,8536,844,7692,10695,1,late,58.17,1–30 DPD,Low
2025-10-09,C003,L003,18387,8536,844,7692,10695,2,late,58.17,1–30 DPD,Low
2025-10-10,C003,L003,18387,8685,858,7827,10560,1,late,57.43,1–30 DPD,Low
2025-10-11,C003,L003,18387,8949,884,8065,10322,0,current,56.14,Current,Low
2025-10-12,C003,L003,18387,9237,912,8325,10062,0,current,54.72,Current,Low
2025-10-13,C003,L003,18387,9552,943,8609,9778,0,current,53.18,Current,Low
2025-10-14,C003,L003,18387,10030,990,9040,9347,0,current,50.83,Current,Low
2025-10-15,C003,L003,18387,10391,1026,9365,9022,0,current,49.07,Current,Low
2025-10-16,C003,L003,18387,10391,1026,9365,9022,1,late,49.07,1–30 DPD,Low
2025-10-17,C003,L003,18387,10622,1049,9573,8814,0,current,47.94,Current,Low
2025-10-18,C003,L003,18387,10965,1083,9882,8505,0,current,46.26,Current,Low
2025-10-19,C003,L003,18387,10965,1083,9882,8505,1,late,46.26,1–30 DPD,Low
2025-10-20,C003,L003,18387,10965,1083,9882,8505,2,late,46.26,1–30 DPD,Low
2025-10-21,C003,L003,18387,11303,1116,10187,8200,1,late,44.6,1–30 DPD,Low
2025-10-22,C003,L003,18387,11604,1146,10458,7929,0,current,43.12,Current,Low
2025-10-23,C003,L003,18387,12000,1185,10815,7572,0,current,41.18,Current,Low
2025-10-24,C003,L003,18387,12440,1229,11211,7176,0,current,39.03,Current,Low
2025-10-25,C003,L003,18387,12440,1229,11211,7176,1,late,39.03,1–30 DPD,Low
2025-10-26,C003,L003,18387,12440,1229,11211,7176,2,late,39.03,1–30 DPD,Low
2025-10-27,C003,L003,18387,12440,1229,11211,7176,3,late,39.03,1–30 DPD,Low
2025-10-28,C003,L003,18387,12608,1245,11363,7024,2,late,38.2,1–30 DPD,Low
2025-10-29,C003,L003,18387,12608,1245,11363,7024,3,late,38.2,1–30 DPD,Low
2025-10-30,C003,L003,18387,12834,1267,11567,6820,2,late,37.09,1–30 DPD,Low
2025-09-01,C004,L004,5141,0,0,0,5141,1,late,100,1–30 DPD,High
2025-09-02,C004,L004,5141,113,11,102,5039,0,current,98.02,Current,High
2025-09-03,C004,L004,5141,537,53,484,4657,0,current,90.59,Current,High
2025-09-04,C004,L004,5141,794,78,716,4425,0,current,86.07,Current,Medium
2025-09-05,C004,L004,5141,1259,124,1135,4006,0,current,77.92,Current,Medium
2025-09-06,C004,L004,5141,1259,124,1135,4006,1,late,77.92,1–30 DPD,Medium
2025-09-07,C004,L004,5141,1259,124,1135,4006,2,late,77.92,1–30 DPD,Medium
2025-09-08,C004,L004,5141,1676,165,1511,3630,1,late,70.61,1–30 DPD,Medium
2025-09-09,C004,L004,5141,1918,189,1729,3412,0,current,66.37,Current,Low
2025-09-10,C004,L004,5141,1918,189,1729,3412,1,late,66.37,1–30 DPD,Low
2025-09-11,C004,L004,5141,2098,207,1891,3250,0,current,63.22,Current,Low
2025-09-12,C004,L004,5141,2299,227,2072,3069,0,current,59.7,Current,Low
2025-09-13,C004,L004,5141,2787,275,2512,2629,0,current,51.14,Current,Low
2025-09-14,C004,L004,5141,2787,275,2512,2629,1,late,51.14,1–30 DPD,Low
2025-09-15,C004,L004,5141,2787,275,2512,2629,2,late,51.14,1–30 DPD,Low
2025-09-16,C004,L004,5141,2787,275,2512,2629,3,late,51.14,1–30 DPD,Low
2025-09-17,C004,L004,5141,3152,311,2841,2300,2,late,44.74,1–30 DPD,Low
2025-09-18,C004,L004,5141,3152,311,2841,2300,3,late,44.74,1–30 DPD,Low
2025-09-19,C004,L004,5141,3360,331,3029,2112,2,late,41.08,1–30 DPD,Low
2025-09-20,C004,L004,5141,3546,349,3197,1944,1,late,37.81,1–30 DPD,Low
2025-09-21,C004,L004,5141,4009,395,3614,1527,0,current,29.7,Current,Low
2025-09-22,C004,L004,5141,4318,425,3893,1248,0,current,24.28,Current,Low
2025-09-23,C004,L004,5141,4599,453,4146,995,0,current,19.35,Current,Low
2025-09-24,C004,L004,5141,4599,453,4146,995,1,late,19.35,1–30 DPD,Low
2025-09-25,C004,L004,5141,4599,453,4146,995,2,late,19.35,1–30 DPD,Low
2025-09-26,C004,L004,5141,4599,453,4146,995,3,late,19.35,1–30 DPD,Low
2025-09-27,C004,L004,5141,4599,453,4146,995,4,late,19.35,1–30 DPD,Low
2025-09-28,C004,L004,5141,4912,484,4428,713,3,late,13.87,1–30 DPD,Low
2025-09-29,C004,L004,5141,5025,495,4530,611,2,late,11.88,1–30 DPD,Low
2025-09-30,C004,L004,5141,5025,495,4530,611,3,late,11.88,1–30 DPD,Low
2025-10-01,C004,L004,5141,5025,495,4530,611,4,late,11.88,1–30 DPD,Low
2025-10-02,C004,L004,5141,5271,519,4752,389,3,late,7.57,1–30 DPD,Low
2025-10-03,C004,L004,5141,5271,519,4752,389,4,late,7.57,1–30 DPD,Low
2025-10-04,C004,L004,5141,5398,531,4867,274,3,late,5.33,1–30 DPD,Low
2025-10-05,C004,L004,5141,5398,531,4867,274,4,late,5.33,1–30 DPD,Low
2025-10-06,C004,L004,5141,5530,544,4986,155,3,late,3.01,1–30 DPD,Low
2025-10-07,C004,L004,5141,5530,544,4986,155,4,late,3.01,1–30 DPD,Low
2025-10-08,C004,L004,5141,5530,544,4986,155,5,late,3.01,1–30 DPD,Low
2025-10-09,C004,L004,5141,5655,556,5099,42,4,late,0.82,1–30 DPD,Low
2025-10-10,C004,L004,5141,6049,595,5454,0,3,late,0,1–30 DPD,Low
2025-10-11,C004,L004,5141,6049,595,5454,0,4,late,0,1–30 DPD,Low
2025-10-12,C004,L004,5141,6049,595,5454,0,5,late,0,1–30 DPD,Low
2025-10-13,C004,L004,5141,6049,595,5454,0,6,late,0,1–30 DPD,Low
2025-10-14,C004,L004,5141,6293,619,5674,0,5,late,0,1–30 DPD,Low
2025-10-15,C004,L004,5141,6435,633,5802,0,4,late,0,1–30 DPD,Low
2025-10-16,C004,L004,5141,6864,675,6189,0,3,late,0,1–30 DPD,Low
2025-10-17,C004,L004,5141,6864,675,6189,0,4,late,0,1–30 DPD,Low
2025-10-18,C004,L004,5141,7067,695,6372,0,3,late,0,1–30 DPD,Low
2025-10-19,C004,L004,5141,7318,720,6598,0,2,late,0,1–30 DPD,Low
2025-10-20,C004,L004,5141,7761,764,6997,0,1,late,0,1–30 DPD,Low
2025-10-21,C004,L004,5141,8050,792,7258,0,0,current,0,Current,Low
2025-10-22,C004,L004,5141,8410,828,7582,0,0,current,0,Current,Low
2025-10-23,C004,L004,5141,8896,876,8020,0,0,current,0,Current,Low
2025-10-24,C004,L004,5141,9218,908,8310,0,0,current,0,Current,Low
2025-10-25,C004,L004,5141,9702,956,8746,0,0,current,0,Current,Low
2025-10-26,C004,L004,5141,10155,1001,9154,0,0,current,0,Current,Low
2025-10-27,C004,L004,5141,10569,1042,9527,0,0,current,0,Current,Low
2025-10-28,C004,L004,5141,10569,1042,9527,0,1,late,0,1–30 DPD,Low
2025-10-29,C004,L004,5141,11053,1090,9963,0,0,current,0,Current,Low
2025-10-30,C004,L004,5141,11053,1090,9963,0,1,late,0,1–30 DPD,Low
2025-09-01,C005,L005,9445,325,32,293,9152,0,current,96.9,Current,High
2025-09-02,C005,L005,9445,512,50,462,8983,0,current,95.11,Current,High
2025-09-03,C005,L005,9445,925,91,834,8611,0,current,91.17,Current,High
2025-09-04,C005,L005,9445,1267,125,1142,8303,0,current,87.91,Current,Medium
2025-09-05,C005,L005,9445,1440,142,1298,8147,0,current,86.26,Current,Medium
2025-09-06,C005,L005,9445,1724,170,1554,7891,0,current,83.55,Current,Medium
2025-09-07,C005,L005,9445,1990,196,1794,7651,0,current,81.01,Current,Medium
2025-09-08,C005,L005,9445,1990,196,1794,7651,1,late,81.01,1–30 DPD,Medium
2025-09-09,C005,L005,9445,2486,245,2241,7204,0,current,76.27,Current,Medium
2025-09-10,C005,L005,9445,2702,266,2436,7009,0,current,74.21,Current,Medium
2025-09-11,C005,L005,9445,3133,309,2824,6621,0,current,70.1,Current,Medium
2025-09-12,C005,L005,9445,3133,309,2824,6621,1,late,70.1,1–30 DPD,Medium
2025-09-13,C005,L005,9445,3325,328,2997,6448,0,current,68.27,Current,Low
2025-09-14,C005,L005,9445,3569,352,3217,6228,0,current,65.94,Current,Low
2025-09-15,C005,L005,9445,3569,352,3217,6228,1,late,65.94,1–30 DPD,Low
2025-09-16,C005,L005,9445,3569,352,3217,6228,2,late,65.94,1–30 DPD,Low
2025-09-17,C005,L005,9445,3977,392,3585,5860,1,late,62.04,1–30 DPD,Low
2025-09-18,C005,L005,9445,4197,414,3783,5662,0,current,59.95,Current,Low
2025-09-19,C005,L005,9445,4197,414,3783,5662,1,late,59.95,1–30 DPD,Low
2025-09-20,C005,L005,9445,4328,427,3901,5544,0,current,58.7,Current,Low
2025-09-21,C005,L005,9445,4729,467,4262,5183,0,current,54.88,Current,Low
2025-09-22,C005,L005,9445,4729,467,4262,5183,1,late,54.88,1–30 DPD,Low
2025-09-23,C005,L005,9445,4943,488,4455,4990,0,current,52.83,Current,Low
2025-09-24,C005,L005,9445,5114,505,4609,4836,0,current,51.2,Current,Low
2025-09-25,C005,L005,9445,5216,515,4701,4744,0,current,50.23,Current,Low
2025-09-26,C005,L005,9445,5556,549,5007,4438,0,current,46.99,Current,Low
2025-09-27,C005,L005,9445,5556,549,5007,4438,1,late,46.99,1–30 DPD,Low
2025-09-28,C005,L005,9445,5868,580,5288,4157,0,current,44.01,Current,Low
2025-09-29,C005,L005,9445,6317,624,5693,3752,0,current,39.72,Current,Low
2025-09-30,C005,L005,9445,6549,647,5902,3543,0,current,37.51,Current,Low
2025-10-01,C005,L005,9445,7016,693,6323,3122,0,current,33.05,Current,Low
2025-10-02,C005,L005,9445,7330,724,6606,2839,0,current,30.06,Current,Low
2025-10-03,C005,L005,9445,7447,735,6712,2733,0,current,28.94,Current,Low
2025-10-04,C005,L005,9445,7806,770,7036,2409,0,current,25.51,Current,Low
2025-10-05,C005,L005,9445,8079,797,7282,2163,0,current,22.9,Current,Low
2025-10-06,C005,L005,9445,8079,797,7282,2163,1,late,22.9,1–30 DPD,Low
2025-10-07,C005,L005,9445,8370,826,7544,1901,0,current,20.13,Current,Low
2025-10-08,C005,L005,9445,8835,872,7963,1482,0,current,15.69,Current,Low
2025-10-09,C005,L005,9445,9229,911,8318,1127,0,current,11.93,Current,Low
2025-10-10,C005,L005,9445,9229,911,8318,1127,1,late,11.93,1–30 DPD,Low
2025-10-11,C005,L005,9445,9229,911,8318,1127,2,late,11.93,1–30 DPD,Low
2025-10-12,C005,L005,9445,9352,923,8429,1016,1,late,10.76,1–30 DPD,Low
2025-10-13,C005,L005,9445,9352,923,8429,1016,2,late,10.76,1–30 DPD,Low
2025-10-14,C005,L005,9445,9352,923,8429,1016,3,late,10.76,1–30 DPD,Low
2025-10-15,C005,L005,9445,9352,923,8429,1016,4,late,10.76,1–30 DPD,Low
2025-10-16,C005,L005,9445,9634,951,8683,762,3,late,8.07,1–30 DPD,Low
2025-10-17,C005,L005,9445,10112,998,9114,331,2,late,3.5,1–30 DPD,Low
2025-10-18,C005,L005,9445,10520,1038,9482,0,1,late,0,1–30 DPD,Low
2025-10-19,C005,L005,9445,10520,1038,9482,0,2,late,0,1–30 DPD,Low
2025-10-20,C005,L005,9445,10520,1038,9482,0,3,late,0,1–30 DPD,Low
2025-10-21,C005,L005,9445,10677,1053,9624,0,2,late,0,1–30 DPD,Low
2025-10-22,C005,L005,9445,11081,1093,9988,0,1,late,0,1–30 DPD,Low
2025-10-23,C005,L005,9445,11081,1093,9988,0,2,late,0,1–30 DPD,Low
2025-10-24,C005,L005,9445,11081,1093,9988,0,3,late,0,1–30 DPD,Low
2025-10-25,C005,L005,9445,11549,1139,10410,0,2,late,0,1–30 DPD,Low
2025-10-26,C005,L005,9445,11724,1156,10568,0,1,late,0,1–30 DPD,Low
2025-10-27,C005,L005,9445,11946,1178,10768,0,0,current,0,Current,Low
2025-10-28,C005,L005,9445,12131,1196,10935,0,0,current,0,Current,Low
2025-10-29,C005,L005,9445,12453,1228,11225,0,0,current,0,Current,Low
2025-10-30,C005,L005,9445,12453,1228,11225,0,1,late,0,1–30 DPD,Low
2025-09-01,C006,L006,10288,139,13,126,10162,0,current,98.78,Current,High
2025-09-02,C006,L006,10288,506,49,457,9831,0,current,95.56,Current,High
2025-09-03,C006,L006,10288,1003,98,905,9383,0,current,91.2,Current,High
2025-09-04,C006,L006,10288,1464,144,1320,8968,0,current,87.17,Current,Medium
2025-09-05,C006,L006,10288,1654,163,1491,8797,0,current,85.51,Current,Medium
2025-09-06,C006,L006,10288,1878,185,1693,8595,0,current,83.54,Current,Medium
2025-09-07,C006,L006,10288,2072,204,1868,8420,0,current,81.84,Current,Medium
2025-09-08,C006,L006,10288,2508,247,2261,8027,0,current,78.02,Current,Medium
2025-09-09,C006,L006,10288,2508,247,2261,8027,1,late,78.02,1–30 DPD,Medium
2025-09-10,C006,L006,10288,2755,271,2484,7804,0,current,75.86,Current,Medium
2025-09-11,C006,L006,10288,2868,282,2586,7702,0,current,74.86,Current,Medium
2025-09-12,C006,L006,10288,3251,320,2931,7357,0,current,71.51,Current,Medium
2025-09-13,C006,L006,10288,3452,340,3112,7176,0,current,69.75,Current,Low
2025-09-14,C006,L006,10288,3828,377,3451,6837,0,current,66.46,Current,Low
2025-09-15,C006,L006,10288,4307,424,3883,6405,0,current,62.26,Current,Low
2025-09-16,C006,L006,10288,4420,435,3985,6303,0,current,61.27,Current,Low
2025-09-17,C006,L006,10288,4899,482,4417,5871,0,current,57.07,Current,Low
2025-09-18,C006,L006,10288,5260,518,4742,5546,0,current,53.91,Current,Low
